feature_name,feature_type,feature_resources,command_prefix,default_subcommand,alternative_subcommand
gufw,deb,,,,
timeshift,deb,,,,
flatpak deja-dup,flatpak,org.gnome.DejaDup,,,
flatpak gnome-calendar,flatpak,org.gnome.Calendar,,,
flatpak gnome-connections,flatpak,org.gnome.Connections,,,
flatpak gnome-music,flatpak,org.gnome.Music,,,
flatpak gnome-snapshot,flatpak,org.gnome.Snapshot,,,
flatpak libreoffice,flatpak,org.libreoffice.LibreOffice,,,
flatpak showtime,flatpak,org.gnome.Showtime,,,
flatpak simple-scan,flatpak,org.gnome.SimpleScan,,,
flatpak thunderbird,flatpak,org.mozilla.thunderbird,,,
flatpak transmission,flatpak,com.transmissionbt.Transmission,,,
