feature_name,feature_type,feature_resources,command_prefix,default_subcommand
desktop-icons,extension,ding@rastersoft.com,,
ubuntu-dock,extension,ubuntu-dock@ubuntu.com,,
baobab,deb,,,
deja-dup,deb,,,
file-roller,deb,,,
gnome-calculator,deb,,,
gnome-calendar,deb,,,
gnome-characters,deb,,,
gnome-clocks,deb,,,
gnome-font-viewer,deb,,,
gnome-initial-setup,deb,,,
gnome-logs,deb,,,
gnome-snapshot,deb,,,
gnome-text-editor,deb,,,
libreoffice,deb,libreoffice-calc libreoffice-gnome libreoffice-impress libreoffice-math libreoffice-style-yaru libreoffice-writer,,
loupe,deb,,,
papers,deb,,,
ptyxis,deb,,,
remmina,deb,,,
resources,deb,,,
rhythmbox,deb,,,
seahorse,deb,,,
shotwell,deb,,,
showtime,deb,,,
simple-scan,deb,,,
transmission,deb,transmission-gtk,,
ubuntu-wallpapers,deb,,,
